ID;VERSION;CODIGO;CST;DESCRICAO;TIPO_ALIQUOTA;NOMENCLATURA;DESCRICAO_TRATAMENTO_TRIBUTARIO;INCOMPATIVEL_COM_SUSPENSAO;EXIGE_GRUPO_DESONERACAO;POSSUI_PERCENTUAL_REDUCAO;IND_APROP_CREDITO_ADQUIRENTE_CBS;IND_APROP_CREDITO_ADQUIRENTE_IBS;IND_CREDITO_PRESUMIDO_FORNECEDOR;IND_CREDITO_PRESUMIDO_ADQUIRENTE;CREDITO_OPERACAO_ANTECEDENTE;PCT_REDUCAO_CBS;PCT_REDUCAO_IBS_UF;PCT_REDUCAO_IBS_MUN;APLICAVEL_NFE;SIGLAS_DFE;DATA_ATUALIZACAO
796bb296-c258-4d08-aa90-8136df6923da;1;550023;550;Operações com hidrocarbonetos líquidos derivados de petróleo não combustíveis ou de gás natural, inclusive nafta;Sem alíquota;NBS ou NCM;Suspensão em operações com hidrocarbonetos líquidos;false;true;false;false;false;false;false;Manutenção;0;0;0;true;NFe;2026-04-15
b166654c-8a3e-499e-a1a9-d000e6fc96eb;1;550024;550;Regime Tributário para Incentivo à Atividade Naval - Renaval (Art. 107, II);Sem alíquota;NBS ou NCM;Suspensão;true;true;false;false;false;false;false;Manutenção;0;0;0;false;;2026-06-22
fbcb88c7-fb80-4b9c-b4f0-16c9b444cee8;1;550025;550;Regime Tributário para Incentivo à Atividade Naval - Renaval (Art. 107, III);Sem alíquota;NBS ou NCM;Suspensão;true;true;false;false;false;false;false;Manutenção;0;0;0;false;;2026-06-22
81f0a7fd-770a-4295-9346-09df8966899f;1;620001;620;Tributação monofásica sobre combustíveis;Uniforme setorial;NCM;Tributação monofásica sobre combustíveis;false;false;false;true;true;false;false;Manutenção;0;0;0;true;NFe;2026-04-15
5d36603c-8b9b-4955-a747-d12eaf463769;1;620002;620;Tributação monofásica com responsabilidade pela retenção sobre combustíveis;Uniforme setorial;NCM;Tributação monofásica com responsabilidade pela retenção sobre combustíveis;false;false;false;true;true;false;false;Manutenção;0;0;0;true;NFe;2026-04-15
20f95cbb-353d-4f82-afab-6a59bf8d8903;1;620003;620;Tributação monofásica com responsabilidade de retenção de tributos por terceiros;Uniforme setorial;NCM;Tributação monofásica com tributos retidos por responsabilidade sobre combustíveis;false;false;false;true;true;false;false;Manutenção;0;0;0;true;NFe;2026-04-15
3d921460-eab2-4a7f-a85c-5994ace51cd5;1;620004;620;Tributação monofásica sobre mistura de EAC com gasolina A em percentual superior ao obrigatório;Uniforme setorial;NCM;Tributação monofásica sobre mistura de EAC com gasolina A em percentual superior ao obrigatório;false;false;false;true;true;false;false;Manutenção;0;0;0;true;NFe;2026-04-15
006e33a8-bc33-43d8-b366-64037c6f8ae3;1;620005;620;Tributação monofásica sobre mistura de EAC com gasolina A em percentual inferior ao obrigatório;Uniforme setorial;NCM;Tributação monofásica sobre mistura de EAC com gasolina A em percentual inferior ao obrigatório;false;false;false;true;true;false;false;Manutenção;0;0;0;true;NFe;2026-04-15
f43966f0-0a35-486e-9b7d-91195ba2ed6f;1;620006;620;Tributação monofásica sobre combustíveis cobrada anteriormente;Uniforme setorial;NCM;Tributação monofásica sobre combustíveis cobrada anteriormente;false;false;false;true;true;false;false;Manutenção;0;0;0;true;NFe,NFCe;2026-04-15
b5b314a5-3ab0-4453-aa03-d7b91bc49996;1;620007;620;Perecimento, deteriorização, roubo, furto ou extravio no regime monofásico;Sem alíquota;NCM;Tributação monofásica sem alíquota;false;false;false;true;true;false;false;Anulação;0;0;0;true;NFe;2026-06-22
5f39d576-a66d-4761-9488-597c94f08ece;1;800001;800;Fusão, cisão ou incorporação;Sem alíquota;NBS ou NCM;Transferência de crédito;false;false;false;true;true;false;false;Manutenção;0;0;0;true;NFe,NFSe;2025-12-15
1de7e79f-8d8b-49ea-9c08-6301b17d7ae7;1;800002;800;Transferência de crédito do associado, inclusive as cooperativas singulares;Sem alíquota;NBS ou NCM;Transferência de crédito;false;false;false;true;true;false;false;Manutenção;0;0;0;true;NFe,NFSe;2025-12-15
713d4e5b-7e4d-4ba6-b157-a58971b9721f;1;810001;810;Crédito presumido de IBS sobre o valor apurado nos fornecimentos a partir da ZFM;Sem alíquota;Não possui;Ajuste de IBS na ZFM;false;false;false;true;true;true;true;Manutenção;0;0;0;true;NFe;2025-12-15
addd71f8-26f1-4708-92e6-32fc1da95b9b;1;811001;811;Anulação de Crédito por Saídas Imunes/Isentas;Sem alíquota;NBS ou NCM;Ajustes;false;false;false;false;false;false;false;Anulação;0;0;0;true;NFe,NFSe;2025-12-15
c4237612-f77c-4d23-9201-eccdaec7908f;1;811002;811;Débitos de notas fiscais não processadas na apuração;Sem alíquota;NBS ou NCM;Ajustes;false;false;false;false;false;false;false;;0;0;0;true;NFe,NFSe;2025-12-15
442700e6-825b-4ced-9b27-8011cf855770;1;811003;811;Desenquadramento do Simples Nacional;Sem alíquota;NBS ou NCM;Ajustes;false;false;false;false;false;false;false;;0;0;0;true;NFe,NFSe;2025-12-15
24585813-3a46-4dd7-a4dc-017c64a8e0b5;1;820001;820;Documento com informações de fornecimento de serviços de planos de assistência à saúde elencados no art. 234 da Lei Complementar nº214, de 2025;Sem alíquota;NBS;Tributação em documento específico;false;false;false;true;true;false;false;Manutenção;0;0;0;false;NFSe;2026-04-15
9a663ef6-0b6c-44e0-9ced-8cb19f130673;1;820002;820;Documento com informações de fornecimento de serviços de planos de assistência funerária;Sem alíquota;NBS;Tributação em documento específico;false;false;false;true;true;false;false;Manutenção;0;0;0;false;NFSe;2026-04-15
d5eb7c31-dda3-4afd-aaab-90ccad37e2b4;1;820003;820;Documento com informações de fornecimento de serviços de planos de assistência à saúde de animais domésticos;Sem alíquota;NBS;Tributação em documento específico;false;false;false;true;true;false;false;Manutenção;0;0;0;false;NFSe;2026-04-15
c4f2faf5-7680-42c6-91e0-3ea2c811be3a;1;820004;820;Documento com informações de prestação de serviços de consursos de prognósticos;Sem alíquota;NBS;Tributação em documento específico;false;false;false;true;true;false;false;Manutenção;0;0;0;false;NFSe;2026-01-23
3db77a4f-441d-401b-bd0b-494c28e69df4;1;820005;820;Documento com informações de alienação de bens imóveis;Sem alíquota;Não possui;Tributação em documento específico;false;false;false;true;true;false;false;Manutenção;0;0;0;false;NFe ABI;2026-04-15
afc6f6b9-7841-4000-af0b-478f1815f2f8;1;820006;820;Documento com informações de fornecimento de serviços de exploração de via;Sem alíquota;NBS;Tributação em documento específico;false;false;false;true;true;false;false;Manutenção;0;0;0;false;NFSe;2026-04-15
31b120b2-7133-43c3-ae84-a9d8fe5c1228;1;820007;820;Documento com informações de fornecimento de serviços financeiros;Sem alíquota;NBS;Tributação em documento específico;false;false;false;false;false;false;false;Manutenção;0;0;0;false;NFSe;2026-04-15
50a31ce4-493b-4dc4-914e-b8b575fb9b1f;1;820008;820;Documento com informações de fornecimento de serviço continuado, mas com tributação realizada em fatura anterior;Sem alíquota;NBS ou NCM;Tributação em documento específico;false;false;false;false;false;false;false;Manutenção;0;0;0;false;NF3e,NFCom,NFAg,NFGas;2026-01-23
e6eba62c-9897-4586-bd98-0e92556571d7;1;820009;820;Cobrança relativa a fornecimentos declarados em outro documento;Sem alíquota;NBS ou NCM;Tributação em documento específico;false;false;false;false;false;false;false;Manutenção;0;0;0;false;NF3e,NFSe,NFCom,NFAg,NFGas,CTe OS;2026-04-15
92a11e7f-988b-43bb-8bf1-0e37726b2d47;1;830001;830;Documento com exclusão da BC da CBS e do IBS de energia elétrica fornecida pela distribuidora à UC;Sem alíquota;NCM;Exclusão de base de cálculo;false;false;false;true;true;false;false;Manutenção;0;0;0;true;NFe,NF3e;2025-12-15
